id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,is_superhost
947912473875256586,7632571,Cuauhtémoc,19.4056737,-99.1702887,Entire home/apt,1135.0,5,13,0.51,24,229,4,0
947974157647160635,10764020,Cuauhtémoc,19.41615,-99.16368,Entire home/apt,1178.0,2,26,1.02,164,335,17,1
948014533593307710,485914626,Benito Juárez,19.3762751,-99.1597452,Entire home/apt,1880.0,2,109,4.17,13,272,52,1
948018549241236931,516218734,Coyoacán,19.35133828561206,-99.1694802045822,Entire home/apt,1416.0,4,11,0.43,1,257,7,0
948042574990237615,61134598,Cuauhtémoc,19.434631,-99.1535239,Entire home/apt,978.0,1,203,7.81,1,305,94,1
948049739680164217,483375606,Álvaro Obregón,19.395240551986305,-99.20822102576494,Private room,491.0,1,14,0.54,2,90,8,0
948050176913007074,196913400,Iztacalco,19.404399220723636,-99.07268043994888,Entire home/apt,622.0,2,17,0.79,1,69,6,0
948156572588876811,529145044,Venustiano Carranza,19.42368310264962,-99.09860953688622,Entire home/apt,1672.0,2,106,4.11,1,77,51,1
948161348283351269,94973222,Cuauhtémoc,19.409173655511506,-99.17532904143098,Private room,255.0,3,20,0.79,2,331,8,0
948402833912983184,526944374,Miguel Hidalgo,19.4353913,-99.2002241,Private room,820.0,1,43,1.65,11,347,40,1
948431439034999493,4715943,Miguel Hidalgo,19.43125482820177,-99.20321200042964,Entire home/apt,1528.0,1,10,0.39,7,126,4,0
948455219864455544,526944374,Miguel Hidalgo,19.43657929057351,-99.1998758527519,Private room,790.0,1,13,0.52,11,357,5,0
948588106492175605,515047897,Miguel Hidalgo,19.42887097895838,-99.17797516828551,Private room,2000.0,1,0,0.0,4,127,0,0
948692283308650250,529310708,Cuauhtémoc,19.410257005115746,-99.14507906048472,Entire home/apt,799.0,3,25,1.11,2,313,13,1
948725201904382322,665479345,Cuauhtémoc,19.44824426658687,-99.14804410475465,Entire home/apt,826.0,1,100,3.91,1,296,67,1
948739327388165222,450667146,Miguel Hidalgo,19.4469343,-99.1923896,Entire home/apt,405.0,1,56,6.86,8,321,56,1
